ID,Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment
C0453,575,19,192,767,748
C0454,1726,996,641,2367,1371
C0455,1221,98,379,1600,1502
C0456,1067,0,15,1082,1082
C0457,858,346,306,1164,818
C0458,14315,2939,6133,20448,17509
C0459,578,75,83,661,586
C0460,1128,0,55,1183,1183
C0461,4325,916,746,5071,4155
C0462,1257,18,972,2229,2211
C0463,27172,5555,3306,30478,24923
C0464,2229,440,1885,4114,3674
C0465,1092,284,308,1400,1116
C0466,7549,1770,3466,11015,9245
C0467,3589,1740,1097,4686,2946
C0468,6307,766,2034,8341,7575
C0469,6548,2179,2775,9323,7144
C0470,4947,644,1585,6532,5888
C0471,5739,1369,2906,8645,7276
C0472,5249,1108,3695,8944,7836
C0473,602,234,510,1112,878
C0474,10360,1204,4574,14934,13730
C0475,5641,1031,1136,6777,5746
C0476,1655,483,637,2292,1809
C0477,13221,1593,3425,16646,15053
C0478,10572,4648,2366,12938,8290
C0479,2942,617,179,3121,2504
C0480,351,8,19,370,362
C0481,1791,0,0,1791,1791
C0482,1791,0,4,1795,1795
C0483,1820,0,0,1820,1820
C0484,2288,699,761,3049,2350
C0485,1726,0,3044,4770,4770
C0486,1783,160,278,2061,1901
C0487,594,0,615,1209,1209
C0488,439,0,453,892,892
C0489,8739,2065,2508,11247,9182
C0490,1001,24,17,1018,994
C0491,718,0,545,1263,1263
C0492,4961,3379,1071,6032,2653
C0493,896,338,718,1614,1276
C0494,5020,1825,3903,8923,7098
C0495,835,183,687,1522,1339
C0496,547,0,6,553,553
C0497,3457,2992,3061,6518,3526
C0498,3974,1203,1587,5561,4358
C0499,874,174,311,1185,1011
C0500,2384,463,999,3383,2920
C0501,4408,770,1065,5473,4703
C0502,1585,662,526,2111,1449
C0503,1406,1004,986,2392,1388
C0504,13256,14801,7662,20918,6117
C0505,4585,1973,1392,5977,4004
C0506,6131,12817,33426,39557,26740
C0507,10699,2772,3209,13908,11136
C0508,32199,10614,5073,37272,26658
C0509,3601,690,619,4220,3530
C0510,6101,1294,1445,7546,6252
C0511,1907,499,333,2240,1741
C0512,888,1643,1989,2877,1234
C0513,7665,639,978,8643,8004
C0514,1789,39,69,1858,1819
C0515,549,43,531,1080,1037
C0516,486,47,4,490,443
C0517,17786,3720,4713,22499,18779
C0518,447,591,144,591,0
C0519,3368,439,1036,4404,3965
C0520,1441,29,71,1512,1483
C0521,1817,1537,1412,3229,1692
C0522,1722,2144,1935,3657,1513
C0523,1785,0,0,1785,1785
C0524,907,397,633,1540,1143
C0525,2192,516,564,2756,2240
C0526,1588,899,769,2357,1458
C0527,1449,0,453,1902,1902
C0528,4893,1411,765,5658,4247
C0529,12916,4611,1393,14309,9698
C0530,25797,14246,6614,32411,18165
C0531,5386,2211,439,5825,3614
C0532,8473,1652,2794,11267,9615
C0533,1198,2064,1916,3114,1050
C0534,3153,1171,398,3551,2380
C0535,2106,225,968,3074,2849
C0536,1409,157,69,1478,1321
C0537,4375,803,186,4561,3758
C0538,1874,260,562,2436,2176
C0539,2819,2305,2210,5029,2724
C0540,1229,0,701,1930,1930
C0541,3632,2435,3048,6680,4245
C0542,3982,1845,2447,6429,4584
C0543,1768,363,305,2073,1710
C0544,1492,0,0,1492,1492
C0545,20370,17763,7927,28297,10534
C0546,2877,0,35,2912,2912
C0547,1767,394,314,2081,1687
C0548,2554,3247,2641,5195,1948
C0549,10322,4198,6610,16932,12734
C0550,22808,6384,5710,28518,22134
C0551,9999,3911,6278,16277,12366
C0552,11138,6773,163,11301,4528
C0553,1333,100,143,1476,1376
C0554,2790,309,277,3067,2758
C0555,2188,68,63,2251,2183
C0556,1176,20,112,1288,1268
C0557,851,0,111,962,962
C0558,1138,178,321,1459,1281
C0559,1374,178,342,1716,1538
C0560,17957,6830,2096,20053,13223
C0561,1021,331,657,1678,1347
C0562,338,33,8,346,313
C0563,6194,1637,3107,9301,7664
C0564,2335,2923,2320,4655,1732
C0565,341,0,9,350,350
C0566,2937,427,96,3033,2606
C0567,3004,1073,251,3255,2182
C0568,7060,1616,1993,9053,7437
C0569,2458,0,23,2481,2481
C0570,6815,3017,1860,8675,5658
C0571,10051,5692,821,10872,5180
C0572,2344,0,130,2474,2474
C0573,3724,167,455,4179,4012
C0574,2955,1133,845,3800,2667
C0575,5220,679,1151,6371,5692
C0576,1645,0,9,1654,1654
C0577,1065,498,313,1378,880
C0578,2118,54,32,2150,2096
C0579,4719,2162,1577,6296,4134
C0580,4268,891,2179,6447,5556
C0581,1591,9,67,1658,1649
C0582,1272,0,35,1307,1307
C0583,1378,0,41,1419,1419
C0584,2324,1611,1192,3516,1905
C0585,1649,138,352,2001,1863
C0586,1713,13,1115,2828,2815
C0587,2746,29,2231,4977,4948
C0588,3849,75,185,4034,3959
C0589,19653,6307,7188,26841,20534
C0590,532,156,208,740,584
C0591,2676,2235,6915,9591,7356
C0592,3716,2224,1396,5112,2888
C0593,14493,4258,8954,23447,19189
C0594,10066,1230,4641,14707,13477
C0595,1612,301,373,1985,1684
C0596,438,0,141,579,579
C0597,1909,609,900,2809,2200
C0598,19853,3242,4624,24477,21235
C0599,3235,0,153,3388,3388
C0600,1446,0,12,1458,1458
C0601,1967,6,468,2435,2429
C0602,1571,969,2431,4002,3033
C0603,1774,1047,2625,4399,3352
C0604,816,919,1144,1960,1041
C0605,723,12,406,1129,1117
C0606,41152,15427,2558,43710,28283
C0607,43276,11332,6041,49317,37985
C0608,6158,1358,817,6975,5617
C0609,5225,1604,3523,8748,7144
C0610,4943,1412,3612,8555,7143
C0611,2592,16,1429,4021,4005
C0612,7537,697,1381,8918,8221
C0613,13863,3575,6306,20169,16594
C0614,982,14,151,1133,1119
C0615,248,3,43,291,288
C0616,7899,1077,2341,10240,9163
C0617,1246,260,1438,2684,2424
C0618,2498,994,1464,3962,2968
C0619,464,0,61,525,525
C0620,18096,9295,9801,27897,18602
C0621,17042,5096,7252,24294,19198
C0622,2567,838,987,3554,2716
C0623,3551,236,1412,4963,4727
C0624,552,0,27,579,579
C0625,2942,1060,1398,4340,3280
C0626,2025,0,20,2045,2045
C0627,2488,27,70,2558,2531
C0628,2494,1455,1167,3661,2206
C0629,710,61,114,824,763
C0630,2423,0,26,2449,2449
C0631,2647,2417,1934,4581,2164
C0632,2011,0,28,2039,2039
C0633,12097,1959,3329,15426,13467
C0634,3033,863,5477,8510,7647
C0635,38767,17077,12759,51526,34449
C0636,1305,0,1534,2839,2839
C0637,9658,1162,1583,11241,10079
C0638,1815,0,131,1946,1946
C0639,5260,471,1374,6634,6163
C0640,1088,4,217,1305,1301
C0641,1986,203,1366,3352,3149
C0642,2015,0,36,2051,2051
C0643,10447,1631,6318,16765,15134
C0644,1904,108,75,1979,1871
C0645,3294,3596,2234,5528,1932
C0646,3081,0,44,3125,3125
C0647,1071,184,252,1323,1139
C0648,3309,1289,897,4206,2917
C0649,7257,3871,2935,10192,6321
C0650,3254,1458,1763,5017,3559
C0651,2403,450,4514,6917,6467
C0652,7487,529,1295,8782,8253
C0653,2917,691,931,3848,3157
C0654,1411,1276,2614,4025,2749
C0655,461,12,71,532,520
C0656,3676,2147,1109,4785,2638
C0657,6665,2231,2469,9134,6903
C0658,767,60,37,804,744
C0659,17612,2754,1819,19431,16677
C0660,2046,200,583,2629,2429
C0661,1711,277,492,2203,1926
C0662,3781,2016,1140,4921,2905
C0663,16951,3762,3210,20161,16399
C0664,854,0,68,922,922
C0665,12317,2774,2932,15249,12475
C0666,849,0,29,878,878
C0667,2826,1625,1056,3882,2257
C0668,1526,570,445,1971,1401
C0669,1024,0,83,1107,1107
C0670,9203,2539,3310,12513,9974
C0671,9572,948,7374,16946,15998
C0672,785,13,58,843,830
C0673,3278,418,1371,4649,4231
C0674,1984,197,290,2274,2077
C0675,1192,669,805,1997,1328
C0676,883,31,346,1229,1198
C0677,984,0,314,1298,1298
C0678,1916,151,1127,3043,2892
C0679,9238,3760,2975,12213,8453
C0680,1977,2204,3056,5033,2829
C0681,1723,1395,3622,5345,3950
C0682,4126,29,1490,5616,5587
C0683,1371,12,297,1668,1656
C0684,3997,179,1798,5795,5616
C0685,30318,7688,4298,34616,26928
C0686,9917,5491,5801,15718,10227
C0687,6663,1984,1466,8129,6145
C0688,6988,3240,9821,16809,13569
C0689,5612,327,613,6225,5898
C0690,5362,943,1123,6485,5542
C0691,1498,0,15,1513,1513
C0692,1184,780,9794,10978,10198
C0693,1970,679,950,2920,2241
C0694,10521,4776,6822,17343,12567
C0695,2301,850,1511,3812,2962
C0696,673,207,181,854,647
C0697,8332,1162,3435,11767,10605
C0698,15407,3244,5864,21271,18027
C0699,12078,6696,1954,14032,7336
C0700,5783,14376,12121,17904,3528
C0701,1018,0,8,1026,1026
C0702,1012,0,32,1044,1044
C0703,1261,1134,875,2136,1002
C0704,1349,0,82,1431,1431
C0705,3372,504,1597,4969,4465
C0706,716,92,422,1138,1046
C0707,1726,166,284,2010,1844
C0708,11549,1678,3303,14852,13174
C0709,10582,2271,3943,14525,12254
C0710,918,84,416,1334,1250
C0711,1024,79,43,1067,988
C0712,1196,0,259,1455,1455
C0713,7798,3586,1990,9788,6202
C0714,1912,624,1144,3056,2432
C0715,1725,698,481,2206,1508
C0716,6711,3943,1308,8019,4076
C0717,1106,0,7,1113,1113
C0718,372,71,109,481,410
C0719,1076,26,68,1144,1118
C0720,5034,1550,2018,7052,5502
C0721,1199,96,89,1288,1192
C0722,10374,2892,4853,15227,12335
C0723,1639,222,510,2149,1927
C0724,20880,5069,3565,24445,19376
C0725,1255,264,1167,2422,2158
C0726,777,235,193,970,735
C0727,803,90,108,911,821
C0728,2815,515,691,3506,2991
C0729,442,11,28,470,459
C0730,18795,4751,9053,27848,23097
C0731,14208,3082,4568,18776,15694
C0732,907,17,2274,3181,3164
C0733,770,426,185,955,529
C0734,1386,0,23,1409,1409
C0735,6185,2066,157,6342,4276
C0736,1809,533,395,2204,1671
C0737,2087,746,137,2224,1478
C0738,13179,10306,15210,28389,18083
C0739,13336,2397,1577,14913,12516
C0740,4580,124,343,4923,4799
C0741,599,93,327,926,833
C0742,4107,1171,1129,5236,4065
C0743,1055,755,1291,2346,1591
C0744,1878,0,45,1923,1923
C0745,1017,335,1041,2058,1723
C0746,80,0,0,80,80
C0747,1776,7,203,1979,1972
C0748,1431,582,729,2160,1578
C0749,1962,692,438,2400,1708
C0750,1790,798,501,2291,1493
C0751,3596,2438,4950,8546,6108
C0752,1374,312,559,1933,1621
C0753,2582,755,447,3029,2274
C0754,1471,690,786,2257,1567
C0755,10499,2398,2850,13349,10951
C0756,5204,2005,3238,8442,6437
C0757,10081,2326,4323,14404,12078
C0758,4966,1709,1350,6316,4607
C0759,14702,4033,4762,19464,15431
C0760,7305,2813,2825,10130,7317
C0761,7935,2691,79,8014,5323
C0762,5015,238,837,5852,5614
C0763,4122,985,1288,5410,4425
C0764,4746,1422,1518,6264,4842
C0765,40321,14135,7715,48036,33901
C0766,7559,3995,3653,11212,7217
C0767,2316,710,878,3194,2484
C0768,7141,4064,2762,9903,5839
C0769,697,565,855,1552,987
C0770,4180,3093,1604,5784,2691
C0771,7272,919,1186,8458,7539
C0772,138,1281,20739,20877,19596
C0773,6653,687,687,7340,6653
C0774,8575,1387,2839,11414,10027
C0775,3002,1280,2845,5847,4567
C0776,2224,1294,1466,3690,2396
C0777,1651,530,483,2134,1604
C0778,20668,6176,7924,28592,22416
C0779,13006,3183,3759,16765,13582
C0780,822,28,859,1681,1653
C0781,359,605,564,923,318
C0782,1669,711,1891,3560,2849
C0783,1308,17,433,1741,1724
C0784,6034,2605,1611,7645,5040
C0785,2079,471,352,2431,1960
C0786,2229,341,126,2355,2014
C0787,2463,0,26,2489,2489
C0788,1118,68,0,1118,1050
C0789,3443,1453,1094,4537,3084
C0790,937,0,140,1077,1077
C0791,3602,616,124,3726,3110
