ID,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0547,18,23,440,540,440,530,,
C0548,21,26,490,600,460,570,490,590
C0549,22,28,500,600,530,630,,
C0550,24,29,540,640,570,670,,
C0551,,,430,550,470,580,,
C0552,33,35,680,770,750,800,690,780
C0553,20,24,460,550,500,600,440,530
C0554,,,,,,,,
C0555,,,,,,,,
C0556,15,20,400,490,390,490,390,490
C0557,,,380,480,380,460,380,460
C0558,19,23,420,500,420,530,410,492
C0559,20,25,480,580,450,550,,
C0560,30,33,640,730,660,750,640,720
C0561,16,22,420,520,400,520,410,530
C0562,,,320,440,340,420,330,440
C0563,19,24,440,540,450,540,,
C0564,23,28,520,630,520,620,530,640
C0565,,,,,,,,
C0566,,,,,,,,
C0567,20,25,450,550,470,580,,
C0568,21,25,470,570,490,590,460,560
C0569,22,28,510,610,520,620,510,620
C0570,20,25,440,560,450,570,440,560
C0571,30,33,680,750,690,770,680,770
C0572,29,33,660,760,650,750,670,760
C0573,21,27,480,580,530,630,470,560
C0574,22,26,470,570,490,610,,
C0575,17,22,450,540,460,550,,
C0576,,,,,,,,
C0577,19,25,440,550,450,540,450,540
C0578,30,34,670,780,660,780,680,780
C0579,,,,,,,,
C0580,20,24,450,550,470,560,450,540
C0581,19,24,400,530,410,440,,
C0582,22,28,520,580,510,590,,
C0583,22,27,460,550,470,630,480,630
C0584,20,26,470,620,450,600,460,580
C0585,21,26,,,,,,
C0586,,,,,,,,
C0587,,,,,,,,
C0588,23,29,518,650,530,660,,
C0589,20,24,450,550,418,563,,
C0590,19,24,,,,,,
C0591,,,,,,,,
C0592,22,28,480,610,500,640,480,610
C0593,19,24,440,570,460,570,430,540
C0594,19,24,,,,,,
C0595,24,29,490,630,540,660,,
C0596,,,,,,,,
C0597,21,26,465,605,445,570,453,593
C0598,21,26,470,590,490,620,465,585
C0599,24,29,520,660,530,680,,
C0600,25,30,550,670,540,690,540,650
C0601,20,25,460,570,490,590,460,570
C0602,22,28,480,630,550,630,490,580
C0603,19,25,480,630,510,640,500,570
C0604,14,18,,,,,,
C0605,18,24,,,,,,
C0606,28,32,620,720,660,760,630,730
C0607,23,28,420,580,550,690,460,580
C0608,24,29,520,650,580,680,490,615
C0609,22,27,,,498,660,470,600
C0610,18,24,503,675,525,648,533,673
C0611,,,,,,,,
C0612,19,25,,,,,,
C0613,20,26,,,,,,
C0614,17,22,370,420,420,480,,
C0615,18,25,420,550,440,580,380,560
C0616,18,24,,,,,,
C0617,19,23,392,560,450,537,,
C0618,20,26,480,575,465,570,480,540
C0619,17,22,,,,,,
C0620,19,26,,,,,,
C0621,19,25,,,,,,
C0622,20,25,495,623,490,590,,
C0623,19,23,,,,,,
C0624,20,26,,,,,,
C0625,22,28,490,640,530,610,,
C0626,29,33,660,750,680,770,660,750
C0627,22,28,510,650,480,630,,
C0628,18,24,480,550,440,560,430,540
C0629,22,27,,,,,,
C0630,24,30,550,680,530,660,,
C0631,21,27,480,640,500,600,470,610
C0632,29,32,620,740,610,710,630,720
C0633,20,24,,,,,,
