ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Receiving financial aid (%)
C0177,Private,Master's degree,32,42420,44070,45730,47510,25,29,570,680,580,670,590,673,41
C0178,Private,Doctoral degree,21,42384,43974,45928,47244,29,33,640,740,660,740,650,750,51
C0179,Public,Doctoral degree,65,7909,8104,8440,8893,,,,,,,,,81
C0180,Private,Doctoral degree,7,38300,40500,42300,44000,32,35,700,800,710,790,710,800,61
C0181,Public,Doctoral degree,42,6731,7056,7336,7336,16,19,410,480,410,490,390,470,97
C0182,Public,Doctoral degree,65,10208,11192,11682,12112,24,29,520,630,540,650,520,630,82
C0183,Private,Master's degree,62,20580,21565,22392,23590,16,23,360,470,360,475,360,455,97
C0184,Private,Doctoral degree,,9290,9470,9710,9950,,,,,,,,,87
C0185,Private,Doctoral degree,43,36697,38071,39499,40649,26,30,590,690,570,660,580,680,80
C0186,Private,Doctoral degree,60,33780,35460,36820,38526,22,27,500,610,510,610,,,95
C0187,Public,Master's degree,,5010,5010,5138,5138,,,,,,,,,86
C0188,Private,Doctoral degree,66,11226,11986,12806,13800,15,20,348,435,345,495,,,88
C0189,Private,Doctoral degree,33,42905,44148,45780,47343,27,31,600,690,600,700,610,700,68
C0190,Private,Doctoral degree,17,40203,41393,42870,44805,29,33,650,750,660,750,,,53
C0191,Private,Doctoral degree,49,18120,20171,22683,22683,21,26,490,590,480,590,480,580,93
C0192,Private,Master's degree,52,20575,20975,21125,21630,,,,,,,,,99
C0193,Private,Doctoral degree,47,27200,28160,28160,28160,17,21,420,520,420,520,410,490,97
C0194,Private,Master's degree,67,13452,13990,14410,14410,15,18,370,460,360,450,,,99
C0195,Private,Doctoral degree,78,30900,31700,32600,33600,18,22,410,520,410,530,410,510,79
C0196,Private,Doctoral degree,36,12048,12048,12048,12048,,,,,,,,,100
C0197,Public,Doctoral degree,49,5021,5584,6247,6317,23,28,540,630,550,640,510,610,96
C0198,Private,Master's degree,70,15440,16315,16715,17125,19,25,460,580,450,550,,,100
C0199,Private,Bachelor's degree,71,33228,34546,35926,37362,23,28,510,620,500,610,,,97
C0200,Private,Bachelor's degree,27,10470,10994,11358,11525,15,18,350,440,360,440,340,430,97
C0201,Private,Doctoral degree,74,29728,29852,30720,31334,21,27,470,590,510,640,460,580,92
C0202,Public,Doctoral degree,45,4635,5187,5785,5785,18,22,430,520,420,510,410,490,95
C0203,Public,Doctoral degree,48,3835,4264,4789,4790,20,24,480,560,480,570,470,560,87
C0204,Private,Bachelor's degree,50,13860,14510,15340,16180,21,25,540,580,530,580,520,570,85
C0205,Private,Bachelor's degree,59,12350,13180,13820,14490,20,26,470,590,460,570,,,94
C0206,Private,Doctoral degree,60,32294,34990,36020,36020,23,28,500,610,530,650,,,95
C0207,Public,Doctoral degree,43,5102,5678,6417,6496,24,27,540,620,530,610,520,600,91
C0208,Private,Master's degree,42,14024,14604,15000,14776,,,,,,,,,90
C0209,Private,Master's degree,50,24662,26112,27200,28580,22,27,490,590,500,590,480,580,99
C0210,Public,Doctoral degree,57,5238,5826,6402,6507,25,29,560,640,550,640,560,640,95
C0211,Public,Doctoral degree,47,5044,5657,6143,6263,26,31,580,670,590,690,570,680,96
C0212,Private,Doctoral degree,47,26600,27900,29100,29900,19,24,450,550,460,560,,,99
C0213,Private,Bachelor's degree,,7410,7410,7410,7410,,,,,,,,,50
C0214,Private,Doctoral degree,93,14176,15064,15664,16284,,,,,,,,,92
C0215,Private,Master's degree,,,,,,,,,,,,,,
C0216,Private,Doctoral degree,40,37836,39654,41220,42852,28,32,600,700,630,720,590,690,75
C0217,Private,Bachelor's degree,81,14745,15478,14695,15995,,,,,,,,,95
C0218,Public,Doctoral degree,53,4909,5627,6235,6353,23,26,540,620,540,610,500,590,94
