ID,Control,Highest degree offered
C0927,Private,Master's degree
C0928,Private,Bachelor's degree
C0929,Public,Doctoral degree
C0930,Public,Master's degree
C0931,Public,Doctoral degree
C0932,Public,Doctoral degree
C0933,Public,Doctoral degree
C0934,Public,Doctoral degree
C0935,Public,Doctoral degree
C0936,Private,Bachelor's degree
C0937,Public,Doctoral degree
C0938,Private,Bachelor's degree
C0939,Public,Master's degree
C0940,Private,Master's degree
C0941,Private,Master's degree
C0942,Private,Bachelor's degree
C0943,Private,Bachelor's degree
C0944,Private,Master's degree
C0945,Private,Master's degree
C0946,Private,Master's degree
C0947,Private,Doctoral degree
C0948,Private,Master's degree
C0949,Private,Doctoral degree
C0950,Public,Doctoral degree
C0951,Public,Doctoral degree
C0952,Public,Bachelor's degree
C0953,Private,Doctoral degree
C0954,Private,Doctoral degree
C0955,Public,Bachelor's degree
C0956,Public,Master's degree
C0957,Public,Doctoral degree
C0958,Public,Doctoral degree
C0959,Public,Master's degree
C0960,Public,Doctoral degree
C0961,Private,Doctoral degree
C0962,Private,Master's degree
C0963,Private,Master's degree
