ID,Control,Highest degree offered,,Admission rate (%),Total enrollment,Tuition and fees 2011-12 ($),4-year graduation rate (%),Geographic region,ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0345,Private,Master's degree,,64,1159,38284,59,Great Lakes,26,31,97
C0346,Private,Doctoral degree,,84,2630,29416,53,Great Lakes,23,29,96
C0347,Private,Bachelor's degree,,60,1014,25865,53,Great Lakes,19,24,100
C0348,Private,Master's degree,,55,888,25700,54,Great Lakes,21,30,100
C0349,Private,Doctoral degree,,79,1904,22546,54,Great Lakes,20,26,100
C0350,Private,Bachelor's degree,,67,1163,28850,68,Great Lakes,23,28,100
C0351,Private,Bachelor's degree,,72,524,22900,42,Great Lakes,19,26,100
C0352,Private,Master's degree,,97,1124,23210,57,Great Lakes,21,27,99
C0353,Public,Master's degree,,83,13459,6708,6,Great Lakes,19,24,87
C0354,Public,Doctoral degree,,70,30488,8243,15,Great Lakes,19,25,85
C0355,Private,Doctoral degree,,84,5452,23010,45,Great Lakes,19,25,98
C0356,Public,Doctoral degree,,69,9902,6032,15,Great Lakes,19,24,88
C0357,Public,Doctoral degree,,83,12448,7982,22,Great Lakes,16,22,92
C0358,Public,Master's degree,,74,4178,6323,7,Great Lakes,18,23,82
C0359,Public,Master's degree,,70,8073,6507,6,Great Lakes,18,23,86
C0360,Public,Doctoral degree,,72,46817,9524,58,Great Lakes,24,30,71
C0361,Public,Master's degree,,76,6387,6408,8,Great Lakes,17,23,79
C0362,Public,Master's degree,,79,6733,6365,9,Great Lakes,17,23,80
C0363,Public,Master's degree,,54,4456,6280,9,Great Lakes,18,23,91
C0364,Private,Doctoral degree,,71,1349,25950,40,Great Lakes,19,25,100
C0365,Private,Doctoral degree,,58,2714,26000,28,Great Lakes,19,25,99
C0366,Private,Doctoral degree,,95,14959,21956,55,Great Lakes,21,27,80
C0367,Private,Master's degree,,,506,13520,9,Great Lakes,,,96
C0368,Private,Doctoral degree,,22,12124,41417,90,Great Lakes,32,34,69
C0369,Private,Doctoral degree,,73,2418,16640,41,Great Lakes,19,24,100
C0370,Public,Master's degree,,61,9422,6336,9,Great Lakes,,,66
C0371,Public,Master's degree,,72,6102,6872,8,Great Lakes,17,23,82
C0372,Private,Master's degree,,54,2381,23950,33,Great Lakes,19,23,100
